Year,State,RATE,DEATHS
2017,AL,16.6,836
2017,AK,27,200
2017,AZ,18.2,"1,327"
2017,AR,20.8,631
2017,CA,10.5,"4,312"
2017,CO,20.3,"1,181"
2017,CT,10.5,405
2017,DE,11.6,112
2017,FL,14,"3,227"
2017,GA,13.6,"1,451"
2017,HI,15.2,227
2017,ID,23.2,392
2017,IL,11.2,"1,474"
2017,IN,16.3,"1,092"
2017,IA,15,479
2017,KS,19.1,553
2017,KY,16.9,770
2017,LA,15.2,720
2017,ME,18.9,274
2017,MD,9.8,630
2017,MA,9.5,682
2017,MI,14.1,"1,457"
2017,MN,13.8,783
2017,MS,15,445
2017,MO,18.5,"1,151"
2017,MT,28.9,311
2017,NE,14.7,275
2017,NV,20.3,627
2017,NH,18.9,265
2017,NJ,8.3,795
2017,NM,23.3,491
2017,NY,8.1,"1,696"
2017,NC,14.3,"1,521"
2017,ND,20.1,154
2017,OH,14.8,"1,740"
2017,OK,19.1,756
2017,OR,19,825
2017,PA,15,"2,030"
2017,RI,11.8,129
2017,SC,16.3,838
2017,SD,22.5,191
2017,TN,16.8,"1,166"
2017,TX,13.4,"3,778"
2017,UT,22.7,663
2017,VT,18.3,112
2017,VA,13.4,"1,179"
2017,WA,16.9,"1,297"
2017,WV,21.1,393
2017,WI,15.4,926
2017,WY,26.9,157
2016,AL,15.7,788
2016,AK,25.8,193
2016,AZ,17.7,"1,271"
2016,AR,18.2,555
2016,CA,10.5,"4,294"
2016,CO,20.5,"1,168"
2016,CT,10.1,397
2016,DE,11.5,119
2016,FL,14,"3,143"
2016,GA,13.3,"1,409"
2016,HI,12.1,174
2016,ID,21.4,351
2016,IL,10.7,"1,415"
2016,IN,15.4,"1,034"
2016,IA,14.6,451
2016,KS,17.9,514
2016,KY,16.8,756
2016,LA,14.2,677
2016,ME,15.9,226
2016,MD,9.4,586
2016,MA,8.8,631
2016,MI,13.3,"1,364"
2016,MN,13.2,745
2016,MS,12.7,383
2016,MO,18.4,"1,133"
2016,MT,25.9,267
2016,NE,13.1,246
2016,NV,21.4,650
2016,NH,17.2,244
2016,NJ,7.2,687
2016,NM,22.5,471
2016,NY,8.1,"1,679"
2016,NC,13,"1,373"
2016,ND,19,140
2016,OH,14.2,"1,707"
2016,OK,21,822
2016,OR,17.8,772
2016,PA,14.7,"1,970"
2016,RI,11.2,126
2016,SC,15.7,815
2016,SD,20.2,163
2016,TN,16.3,"1,111"
2016,TX,12.6,"3,488"
2016,UT,21.8,620
2016,VT,17.3,118
2016,VA,13.2,"1,166"
2016,WA,14.9,"1,141"
2016,WV,19.3,362
2016,WI,14.7,866
2016,WY,25.2,144
2015,AL,14.9,750
2015,AK,26.9,201
2015,AZ,18.2,"1,276"
2015,AR,19.1,577
2015,CA,10.3,"4,167"
2015,CO,19.5,"1,093"
2015,CT,9.9,384
2015,DE,12.6,122
2015,FL,14.4,"3,205"
2015,GA,12.7,"1,317"
2015,HI,13.5,201
2015,ID,22.1,359
2015,IL,10.3,"1,363"
2015,IN,14.4,960
2015,IA,13.9,433
2015,KS,16.3,477
