measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Ukraine,Both,All Ages,All causes,Number,2017,689878.8076412412,718846.2440188803,664019.188487193
Deaths,Ukraine,Both,All Ages,All causes,Rate,2017,1543.730031453149,1608.5499693539261,1485.8644031023682
Deaths,Grenada,Both,All Ages,All causes,Number,2017,1141.363101587185,1197.1582020708606,1086.026412417417
Deaths,Grenada,Both,All Ages,All causes,Rate,2017,1029.3806289795505,1079.701508943162,979.4731842548978
Deaths,Vietnam,Both,All Ages,All causes,Number,2017,606304.4328256818,666410.1351232323,557721.0582052039
Deaths,Vietnam,Both,All Ages,All causes,Rate,2017,630.6426205980931,693.1610775936298,580.1090189462537
Deaths,Guyana,Both,All Ages,All causes,Number,2017,5558.660784600047,6046.221930500088,5052.935799914724
Deaths,Guyana,Both,All Ages,All causes,Rate,2017,748.8405431106937,814.5228301656915,680.711296360183
Deaths,Bhutan,Both,All Ages,All causes,Number,2017,4139.807722084132,4695.41643442573,3603.829438665191
Deaths,Bhutan,Both,All Ages,All causes,Rate,2017,432.3964283605356,490.4288875737771,376.4143366820163
Deaths,Uzbekistan,Both,All Ages,All causes,Number,2017,205264.84444114155,224110.6504521743,188074.27357917678
Deaths,Uzbekistan,Both,All Ages,All causes,Rate,2017,636.7388778800964,695.1992411482528,583.4131131561494
Deaths,India,Both,All Ages,All causes,Number,2017,9909501.469219549,10093179.273773676,9731577.80965064
Deaths,India,Both,All Ages,All causes,Rate,2017,717.7883535625297,731.0929369794064,704.9005679298748
Deaths,Niger,Both,All Ages,All causes,Number,2017,172900.81217683255,198646.56743781394,151610.8747609987
Deaths,Niger,Both,All Ages,All causes,Rate,2017,808.8568971302376,929.2995454468529,709.2592578741732
Deaths,Nigeria,Both,All Ages,All causes,Number,2017,1582430.4905233833,1895742.5962676988,1345840.1943201758
Deaths,Nigeria,Both,All Ages,All causes,Rate,2017,767.8423290879524,919.8706794305933,653.0416821311344
Deaths,Samoa,Both,All Ages,All causes,Number,2017,1083.7520187503724,1179.1649241300327,980.8297820595986
Deaths,Samoa,Both,All Ages,All causes,Rate,2017,544.822457329724,592.7883136054569,493.0815194236567
Deaths,Congo,Both,All Ages,All causes,Number,2017,37911.61084852652,42831.03731922652,33704.886222402274
Deaths,Congo,Both,All Ages,All causes,Rate,2017,771.6477170642106,871.7770473780247,686.0246221491408
Deaths,Cyprus,Both,All Ages,All causes,Number,2017,7737.816165169317,8289.696578745938,7244.807989501371
Deaths,Cyprus,Both,All Ages,All causes,Rate,2017,612.8321836167968,656.5409086275951,573.786118113777
Deaths,Sudan,Both,All Ages,All causes,Number,2017,209005.5058132136,236534.8752081297,183225.822732282
Deaths,Sudan,Both,All Ages,All causes,Rate,2017,519.1967389056795,587.5832570424019,455.15666812590075
Deaths,South Sudan,Both,All Ages,All causes,Number,2017,97278.59870846903,116214.92951959453,82428.16902751164
Deaths,South Sudan,Both,All Ages,All causes,Rate,2017,978.5585474427534,1169.0455468285418,829.1730187608605
Deaths,Azerbaijan,Both,All Ages,All causes,Number,2017,75511.84081385373,80241.66087532927,71267.06604360694
